sample	tp53_mutation_status
CPCT02020248TII	0
CPCT02020249T	0
CPCT02020257T	0
CPCT02020257TII	0
CPCT02020258T	0
CPCT02020258TII	0
CPCT02020264T	0
CPCT02020265T	0
CPCT02020267T	0
CPCT02020267TII	0
CPCT02020267TIII	0
CPCT02020268T	0
CPCT02020271T	0
CPCT02020272T	0
CPCT02020275T	0
CPCT02020276T	0
CPCT02020277T	0
CPCT02020277TII	0
CPCT02020278T	0
CPCT02020279T	0
CPCT02020281T	0
CPCT02020283T	0
CPCT02020285T	0
CPCT02020287T	0
CPCT02020288T	0
CPCT02020293T	0
CPCT02020294T	0
CPCT02020295T	0
CPCT02020298T	0
CPCT02020299T	0
CPCT02020303T	0
CPCT02020305T	0
CPCT02020306T	0
CPCT02020307T	0
CPCT02020308T	0
CPCT02020309T	0
CPCT02020310T	0
CPCT02020313T	0
CPCT02020314T	0
CPCT02020315T	0
CPCT02020317T	0
CPCT02020318T	0
CPCT02020319T	0
CPCT02020320T	0
CPCT02020322T	0
CPCT02020323T	0
CPCT02020325T	0
CPCT02020326T	0
CPCT02020330T	0
CPCT02020333T	0
CPCT02020334T	0
CPCT02020337T	0
CPCT02020340T	0
CPCT02020341T	0
CPCT02020342T	0
CPCT02020343T	0
CPCT02020344T	0
CPCT02020345T	0
CPCT02020345TII	0
CPCT02020347T	0
CPCT02020348T	0
CPCT02020350T	0
CPCT02020351T	0
CPCT02020351TII	0
CPCT02020353T	0
CPCT02020356T	0
CPCT02020357T	0
CPCT02020358T	0
CPCT02020362T	0
CPCT02020369T	0
CPCT02020370T	0
CPCT02020371T	0
CPCT02020373T	0
CPCT02020376T	0
CPCT02020377T	0
CPCT02020378T	0
CPCT02020380T	0
CPCT02020380TII	0
CPCT02020382T	0
CPCT02020383T	0
CPCT02020385T	0
CPCT02020386T	0
CPCT02020387T	0
CPCT02020388T	0
CPCT02020389T	0
CPCT02020393T	0
CPCT02020394T	0
CPCT02020398T	0
CPCT02020399T	0
CPCT02020401T	0
CPCT02020403T	0
CPCT02020405T	0
CPCT02020406T	0
CPCT02020407T	0
CPCT02020408T	0
CPCT02020409T	0
CPCT02020410T	0
CPCT02020412T	0
CPCT02020413T	0
CPCT02020413TII	0
CPCT02020414T	0
CPCT02020415T	0
CPCT02020417T	0
CPCT02020419T	0
CPCT02020420T	0
CPCT02020421T	0
CPCT02020422T	0
CPCT02020423T	0
CPCT02020424T	0
CPCT02020426T	0
CPCT02020428T	0
CPCT02020429T	0
CPCT02020433T	0
CPCT02020434T	0
CPCT02020436T	0
CPCT02020438T	0
CPCT02020441T	0
CPCT02020442T	0
CPCT02020444T	0
CPCT02020445T	0
CPCT02020447T	0
CPCT02020449T	0
CPCT02020450T	0
CPCT02020452T	0
CPCT02020454T	0
CPCT02020458T	0
CPCT02020459T	0
CPCT02020460T	0
CPCT02020464T	0
CPCT02020465T	0
CPCT02020466T	0
CPCT02020468T	0
CPCT02020473T	0
CPCT02020474T	0
CPCT02020475T	0
CPCT02020476T	0
CPCT02020478T	0
CPCT02020480T	0
CPCT02020482T	0
CPCT02020483T	0
CPCT02020485T	0
CPCT02020486T	0
CPCT02020487T	0
CPCT02020490T	0
CPCT02020491T	0
CPCT02020492T	0
CPCT02020493T	0
CPCT02020493TII	0
CPCT02020494T	0
CPCT02020497T	0
CPCT02020499T	0
CPCT02020500T	0
CPCT02020501T	0
CPCT02020502T	0
CPCT02020503T	0
CPCT02020505T	0
CPCT02020506T	0
CPCT02020506TII	0
CPCT02020508T	0
CPCT02020509T	0
CPCT02020511T	0
CPCT02020512T	0
CPCT02020513T	0
CPCT02020514T	0
CPCT02020516T	0
CPCT02020517T	0
CPCT02020519T	0
CPCT02020520T	0
CPCT02020521T	0
CPCT02020523T	0
CPCT02020525T	0
CPCT02020526T	0
CPCT02020527T	0
CPCT02020533T	0
CPCT02020535T	0
CPCT02020536T	0
CPCT02020539T	0
CPCT02020540T	0
CPCT02020541T	0
CPCT02020542T	0
CPCT02020543T	0
CPCT02020544T	0
CPCT02020545T	0
CPCT02020546T	0
CPCT02020553T	0
CPCT02020554T	0
CPCT02020555T	0
CPCT02020559T	0
CPCT02020560T	0
CPCT02020561T	0
CPCT02020565T	0
CPCT02020566T	0
CPCT02020568T	0
CPCT02020572T	0
CPCT02020573T	0
CPCT02020574T	0
CPCT02020577T	0
CPCT02020578T	0
CPCT02020579T	0
CPCT02020580T	0
CPCT02020582T	0
CPCT02020583T	0
CPCT02020583TII	0
CPCT02020586T	0
CPCT02020587T	0
CPCT02020589T	0
CPCT02020591T	0
CPCT02020592T	0
CPCT02020593T	0
CPCT02020596T	0
CPCT02020597T	0
CPCT02020597TII	0
CPCT02020597TIII	0
CPCT02020598T	0
CPCT02020599T	0
CPCT02020600T	0
CPCT02020607T	0
CPCT02020608T	0
CPCT02020609T	0
CPCT02020610T	0
CPCT02020611T	0
CPCT02020613T	0
CPCT02020614T	0
CPCT02020615T	0
CPCT02020617T	0
CPCT02020619T	0
CPCT02020620T	0
CPCT02020621TII	0
CPCT02020622T	0
CPCT02020623T	0
CPCT02020626T	0
CPCT02020628T	0
CPCT02020629T	0
CPCT02020630T	0
CPCT02020632T	0
CPCT02020633T	0
CPCT02020633TII	0
CPCT02020635T	0
